"t","rms","rmsQ","dp","logrms","logrmsQ","logdp"
"10",0.149644501969516,0.585110315924606,2,-0.824939234775438,-0.232762244891097,0.301029995663981
"100",0.568463278679378,0.0520161076796469,2,-0.245297584418638,-1.28386214880481,0.301029995663981
"1000",0.995201977957457,0.0293388516269415,2,-0.00208876949494113,-1.53255688919222,0.301029995663981
"10",1.80667986827119,0.354419068890814,1.5,0.256881205266907,-0.450482919710307,0.176091259055681
"100",2.75455109952796,0.102515903737296,1.5,0.440050833357434,-0.989208755392887,0.176091259055681
"1000",1.86009879560341,0.0241712284674363,1.5,0.26953601155444,-1.61670127664775,0.176091259055681
"10",0.129599464563653,0.400428363986043,1,-0.887396792736499,-0.397475167240835,0
"100",0.42863579402786,0.0650110271984354,1,-0.367911565212754,-1.18701297189179,0
"1000",0.467782565127479,0.0157753639325179,1,-0.329955968952761,-1.80202061293573,0
"10",0.130958417613275,0.358361595502993,0.8,-0.882866581198243,-0.445678538504358,-0.0969100130080564
"100",0.349574238769891,0.070685183905637,0.8,-0.456460579390927,-1.1506716077355,-0.0969100130080564
"1000",0.401852097672261,0.0176851549193686,0.8,-0.395933760308338,-1.75239113147647,-0.0969100130080564
"10",0.233319152787601,0.241007097187742,0.5,-0.632049609219297,-0.617970168113556,-0.301029995663981
"100",0.228924688277017,0.0543508010633916,0.5,-0.64030736851243,-1.26479405056855,-0.301029995663981
"1000",0.279622504663561,0.0143160679793937,0.5,-0.553427878499003,-1.8441762480436,-0.301029995663981
"10",0.21659142193169,0.199696330526748,0.4,-0.664358747532967,-0.699629915332735,-0.397940008672038
"100",0.193508947611556,0.0484640836697607,0.4,-0.713298948947479,-1.31457999423233,-0.397940008672038
"1000",0.245106018468507,0.0129181842108837,0.4,-0.610646024710503,-1.88879852679087,-0.397940008672038
"10",0.534299080313948,0.0775984947725361,0.3,-0.27221557336514,-1.11014670294699,-0.522878745280338
"100",0.365820882204403,0.0140394799907188,0.3,-0.436731507259567,-1.852648977772,-0.522878745280338
"1000",0.304237302675395,0.00708852575683601,0.3,-0.516787537972443,-2.1494440782507,-0.522878745280338
"10",0.275045062151701,0.107913522169613,0.2,-0.560596147476689,-0.966924132372733,-0.698970004336019
"100",0.213860924584922,0.0275352366629445,0.2,-0.669868559923111,-1.56011118644367,-0.698970004336019
"1000",0.216755076204989,0.00808602492541969,0.2,-0.6640307229544,-2.09226492427423,-0.698970004336019
