"m","c","t","Stat"
0.0104381776729134,-0.186746815062574,10,"T"
1.06640726444877,0.463407132466038,100,"Q"
0.0104381776729134,-0.186746815062574,1000,"T"
1.06640726444877,0.463407132466038,10,"Q"
0.0104381776729134,-0.186746815062574,100,"T"
1.06640726444877,0.463407132466038,1000,"Q"
0.650492529993123,0.0586625939478938,10,"T"
0.941597772729011,1.05538122587878,100,"Q"
0.650492529993123,0.0586625939478938,1000,"T"
0.941597772729011,1.05538122587878,10,"Q"
0.650492529993123,0.0586625939478938,100,"T"
0.941597772729011,1.05538122587878,1000,"Q"
0.927567104857587,0.132459186780966,10,"T"
1.55582489731112,2.66204257581048,100,"Q"
0.927567104857587,0.132459186780966,1000,"T"
1.55582489731112,2.66204257581048,10,"Q"
0.927567104857587,0.132459186780966,100,"T"
1.55582489731112,2.66204257581048,1000,"Q"
