"m","c","t","Stat"
-12.1384387063441,7.50925174393599,10,"T"
-2.04895286104809,-2.45088496887839,100,"Q"
-12.1384387063441,7.50925174393599,1000,"T"
-2.04895286104809,-2.45088496887839,10,"Q"
-12.1384387063441,7.50925174393599,100,"T"
-2.04895286104809,-2.45088496887839,1000,"Q"
-3.63068756693281,5.69057759839555,10,"T"
-2.97215902510367,-0.61192608783374,100,"Q"
-3.63068756693281,5.69057759839555,1000,"T"
-2.97215902510367,-0.61192608783374,10,"Q"
-3.63068756693281,5.69057759839555,100,"T"
-2.97215902510367,-0.61192608783374,1000,"Q"
9.12379876310579,-23.3525877507082,10,"T"
-4.22438570215551,2.81644750941067,100,"Q"
9.12379876310579,-23.3525877507082,1000,"T"
-4.22438570215551,2.81644750941067,10,"Q"
9.12379876310579,-23.3525877507082,100,"T"
-4.22438570215551,2.81644750941067,1000,"Q"
