"t","rms","rmsQ","dp","logrms","logrmsQ","logdp"
"10",0.00932032005330473,0.0454233192335015,2,-2.03056917401967,-1.34272113360981,0.301029995663981
"100",0.0390023659931799,0.00747240703601373,2,-1.40890904665004,-2.12653947929937,0.301029995663981
"1000",0.0756302624613152,0.00201420857656279,2,-1.12130439245986,-2.69589555912499,0.301029995663981
"10",0.0170104558268973,0.00301293063194891,1.5,-1.76928404850067,-2.52101086716787,0.176091259055681
"100",0.118336342458417,0.00510815730075331,1.5,-0.926881858032426,-2.29173573752505,0.176091259055681
"1000",0.110782498295904,0.000797355546670645,1.5,-0.955528845148072,-3.09834798032874,0.176091259055681
"10",0.00708500039347595,0.0300711271785095,1,-2.14966012129734,-1.52185029261009,0
"100",0.0313406655112905,0.00588371593771726,1,-1.50389178563347,-2.23034830291594,0
"1000",0.0391549268383368,0.00158452835526771,1,-1.40721358318257,-2.80009998466799,0
"10",0.0972038460170415,0.0164516699811576,0.8,-1.01231655121638,-1.78379001097904,-0.0969100130080564
"100",0.0922965343855593,0.00364718675854423,0.8,-1.03481460585908,-2.43804199755034,-0.0969100130080564
"1000",0.0734551907313273,0.000390211419791644,0.8,-1.1339775092499,-3.40870002484431,-0.0969100130080564
"10",0.01789320181577,0.0176317616198537,0.5,-1.74731193967284,-1.75370429441871,-0.301029995663981
"100",0.0177459218509108,0.00433874757935604,0.5,-1.75090143534908,-2.36263561561903,-0.301029995663981
"1000",0.0244330718835559,0.00134204412397854,0.5,-1.61202192728739,-2.87223320511682,-0.301029995663981
"10",0.0167860269039148,0.0146510275888448,0.4,-1.77505208515402,-1.83413191384132,-0.397940008672038
"100",0.0149639303709708,0.00387383964293795,0.4,-1.82495432129537,-2.41185836080549,-0.397940008672038
"1000",0.021434833142801,0.00121255761462094,0.4,-1.6688798928598,-2.91629761675251,-0.397940008672038
"10",0.0718345549964,0.00938459453664419,0.3,-1.14366659427836,-2.02758448642058,-0.522878745280338
"100",0.0462407079711785,0.00168553239678043,0.3,-1.33497552524448,-2.77326289570441,-0.522878745280338
"1000",0.0375649762378748,0.000206220418063558,0.3,-1.42521688154173,-3.68566833704798,-0.522878745280338
"10",0.00963615671446674,0.00907470872923486,0.2,-2.01609614561073,-2.04216730561043,-0.698970004336019
"100",0.00945159551321993,0.00275896896469087,0.2,-2.02449487253855,-2.55925318481959,-0.698970004336019
"1000",0.0153765745368725,0.000878919118848043,0.2,-1.81314040220858,-3.0560510883553,-0.698970004336019
