"t","rms","dp","logrms","logdp"
"10",1786886916.58217,2,9.25209706898111,0.301029995663981
"100",2896838279.93498,2,9.46192425078116,0.301029995663981
"120",2946695440.08768,2,9.46933525104351,0.301029995663981
"150",2823797065.55604,2,9.45083348257948,0.301029995663981
"170",2763841967.50806,2,9.44151320708084,0.301029995663981
"20",2584708202.29608,2,9.41241152101384,0.301029995663981
"200",2966799302.58078,2,9.47228816824816,0.301029995663981
"220",2874882279.30167,2,9.45862006589646,0.301029995663981
"250",2957577387.47658,2,9.47093611712561,0.301029995663981
"270",2935109965.89098,2,9.46762437702657,0.301029995663981
"30",2536551726.23915,2,9.40424372302684,0.301029995663981
"300",2883434046.50457,2,9.45991002213613,0.301029995663981
"40",2888309255.79208,2,9.46064369197705,0.301029995663981
"400",3014852096.50645,2,9.47926601125339,0.301029995663981
"50",2604759778.57117,2,9.41576767709752,0.301029995663981
"60",2777727375.02212,2,9.4436896188913,0.301029995663981
"70",2873227895.90499,2,9.45837007430685,0.301029995663981
"80",2959387701.83473,2,9.47120186470023,0.301029995663981
"90",2771519681.58601,2,9.44271796702512,0.301029995663981
"10",2663133991.61093,1.5,9.42539301786715,0.176091259055681
"100",5244607389.00117,1.5,9.71971298248719,0.176091259055681
"120",5422526702.93955,1.5,9.73420169935119,0.176091259055681
"150",5194114499.89316,1.5,9.71551151905603,0.176091259055681
"170",5273142258.45755,1.5,9.72206948785521,0.176091259055681
"20",4623461391.32299,1.5,9.66496723536041,0.176091259055681
"200",5239404386.23833,1.5,9.71928191933633,0.176091259055681
"220",5180690986.60387,1.5,9.71438768863626,0.176091259055681
"250",5338419045.22723,1.5,9.72741266122499,0.176091259055681
"270",5200368288.70012,1.5,9.71603410134373,0.176091259055681
"300",5448253155.43279,1.5,9.73625727905399,0.176091259055681
"40",7306218289.47606,1.5,9.86369264358062,0.176091259055681
"400",5449492772.14293,1.5,9.73635608089848,0.176091259055681
"50",6708028950.41411,1.5,9.82659492825992,0.176091259055681
"60",3196214464.02462,1.5,9.50463591251228,0.176091259055681
"70",5655252326.62378,1.5,9.75245198708916,0.176091259055681
"80",5276584276.70889,1.5,9.72235287900876,0.176091259055681
"90",5543683816.08355,1.5,9.74379845233138,0.176091259055681
"10",2491433382.02862,1,9.39644927914337,0
"100",5234463470.24581,1,9.71887217333998,0
"120",2454417514.82632,1,9.38994844142358,0
"150",2461972564.20867,1,9.39128320892057,0
"170",5778327250.76258,1,9.76180213411181,0
"20",3778826573.67371,1,9.57735696076464,0
"200",2474962564.12968,1,9.39356863425348,0
"220",5269259349.47004,1,9.72174957478683,0
"250",2518319702.50621,1,9.40111086327013,0
"270",2528549928.04848,1,9.40287153351211,0
"30",3600560323.72552,1,9.55637009148013,0
"300",5568696479.47039,1,9.7457535474133,0
"40",7075236431.90292,1,9.84974095717939,0
"400",2838618291.97216,1,9.453106997022,0
"50",4846913803.05176,1,9.68546529634916,0
"60",6211324751.2061,1,9.79318423637319,0
"70",5670017697.24405,1,9.7535844144138,0
"80",3770629228.7059,1,9.5764138297157,0
"90",4538423537.87026,1,9.65690502296733,0
"10",3096484181.14961,0.8,9.49086886569325,-0.0969100130080564
"100",1884837110.97711,0.8,9.27527382411184,-0.0969100130080564
"120",1849260457.8579,0.8,9.26699808338429,-0.0969100130080564
"150",1875060085.13176,0.8,9.27301518898271,-0.0969100130080564
"170",1879040526.92987,0.8,9.27393614701495,-0.0969100130080564
"20",4300075171.60434,0.8,9.6334760477488,-0.0969100130080564
"200",1865209548.43188,0.8,9.27072763004037,-0.0969100130080564
"220",1905090690.31171,0.8,9.27991565474363,-0.0969100130080564
"250",1894557622.48751,0.8,9.27750781876793,-0.0969100130080564
"270",1920589771.317,0.8,9.28343461156703,-0.0969100130080564
"30",7304504859.825,0.8,9.86359078236014,-0.0969100130080564
"300",1970989376.47127,0.8,9.29468428346141,-0.0969100130080564
"40",2969214283.63755,0.8,9.47264154109325,-0.0969100130080564
"400",1901233997.91279,0.8,9.27903557175669,-0.0969100130080564
"50",2481421872.18905,0.8,9.39470060594425,-0.0969100130080564
"60",2103341015.05667,0.8,9.32290969063729,-0.0969100130080564
"70",2519092150.11425,0.8,9.40124405457796,-0.0969100130080564
"80",2127454085.95843,0.8,9.32786019605154,-0.0969100130080564
"90",2154055943.59133,0.8,9.33325697829228,-0.0969100130080564
"10",2238859753.47017,0.5,9.35002688937998,-0.301029995663981
"100",4404172482.76552,0.5,9.64386431912043,-0.301029995663981
"120",3440516687.76726,0.5,9.53662366867497,-0.301029995663981
"150",3792971845.1902,0.5,9.57897961899493,-0.301029995663981
"170",2878429546.78349,0.5,9.45915560401258,-0.301029995663981
"20",2688112687.36993,0.5,9.42944747066049,-0.301029995663981
"200",3463363897.79068,0.5,9.53949812553721,-0.301029995663981
"220",4350924132.47438,0.5,9.63858151051979,-0.301029995663981
"250",3781321445.2747,0.5,9.5776435977474,-0.301029995663981
"270",4166905409.56939,0.5,9.61981364190956,-0.301029995663981
"30",2678541647.91954,0.5,9.4278984034888,-0.301029995663981
"300",3160667109.89473,0.5,9.49977875716545,-0.301029995663981
"40",2841896490.78582,0.5,9.45360825575218,-0.301029995663981
"400",3164629044.31345,0.5,9.50032280962997,-0.301029995663981
"50",2961296437.87836,0.5,9.47148188421835,-0.301029995663981
"60",3283213462.72037,0.5,9.51629911991112,-0.301029995663981
"70",3313615753.63307,0.5,9.52030214628249,-0.301029995663981
"80",3628467292.47985,0.5,9.55972321264299,-0.301029995663981
"90",4028237122.91009,0.5,9.60511502745763,-0.301029995663981
"10",2170145703.59606,0.4,9.33648889336165,-0.397940008672038
"100",3572763454.07892,0.4,9.55300426333679,-0.397940008672038
"120",4236514937.70365,0.4,9.62700874204252,-0.397940008672038
"150",5044514747.82104,0.4,9.70281939604777,-0.397940008672038
"170",5643187959.9811,0.4,9.75152451573578,-0.397940008672038
"20",2525142244.82632,0.4,9.40228584756484,-0.397940008672038
"200",4400228479.65851,0.4,9.64347522759499,-0.397940008672038
"220",4439789271.53607,0.4,9.64736235741621,-0.397940008672038
"250",7675129657.39538,0.4,9.8850857208288,-0.397940008672038
"270",4220859566.86224,0.4,9.6254009028885,-0.397940008672038
"30",2728436212.2687,0.4,9.43591380492747,-0.397940008672038
"300",3998560518.77961,0.4,9.6019036735115,-0.397940008672038
"40",2795267920.36867,0.4,9.44642344040179,-0.397940008672038
"400",7766600874.48375,0.4,9.8902309873403,-0.397940008672038
"50",2914464711.25626,0.4,9.46455880118936,-0.397940008672038
"60",2990230022.15015,0.4,9.47570459752448,-0.397940008672038
"70",3059759494.34976,0.4,9.48568729106272,-0.397940008672038
"80",3237642797.15432,0.4,9.5102289321931,-0.397940008672038
"90",3315700955.18105,0.4,9.52057535439596,-0.397940008672038
"10",2384818807.27165,0.3,9.3774553879919,-0.522878745280338
"100",3851512227.16153,0.3,9.58563128092768,-0.522878745280338
"120",3850755420.0756,0.3,9.58554593537559,-0.522878745280338
"150",4031322307.15815,0.3,9.60544752170168,-0.522878745280338
"170",3308757002.17346,0.3,9.51966487338823,-0.522878745280338
"20",2430771210.3274,0.3,9.38574408399008,-0.522878745280338
"200",18196397648.6099,0.3,10.2599854189641,-0.522878745280338
"220",17558470511.547,0.3,10.2444866825652,-0.522878745280338
"250",3407249041.84455,0.3,9.53240387807802,-0.522878745280338
"270",17591160319.849,0.3,10.245294486637,-0.522878745280338
"30",2669313387.21483,0.3,9.42639956455121,-0.522878745280338
"300",3452667951.19434,0.3,9.5381548135368,-0.522878745280338
"40",2753824094.92021,0.3,9.4399361955268,-0.522878745280338
"400",3517332092.41757,0.3,9.54621337459946,-0.522878745280338
"50",2954068937.60306,0.3,9.47042062600344,-0.522878745280338
"60",3021573204.27194,0.3,9.48023312045316,-0.522878745280338
"70",3088600510.95854,0.3,9.48976173895666,-0.522878745280338
"80",3203645376.3868,0.3,9.50564443637534,-0.522878745280338
"90",3462181179.30967,0.3,9.53934979118685,-0.522878745280338
"10",2274039333.72742,0.2,9.35679797234513,-0.698970004336019
"100",3121630993.755,0.2,9.49438156405389,-0.698970004336019
"120",3323851356.26422,0.2,9.52164159375297,-0.698970004336019
"150",3376606401.68136,0.2,9.52848043951008,-0.698970004336019
"170",3695407910.07103,0.2,9.56766238408816,-0.698970004336019
"20",2236585296.70381,0.2,9.34958546552294,-0.698970004336019
"200",5009035376.7912,0.2,9.69975409894664,-0.698970004336019
"220",4983438828.08783,0.2,9.69752913164744,-0.698970004336019
"250",5311065929.43589,0.2,9.72518169260959,-0.698970004336019
"270",5659823551.01709,0.2,9.75280289196316,-0.698970004336019
"30",2424345428.23039,0.2,9.38459449952327,-0.698970004336019
"300",5742047579.79586,0.2,9.75906678682945,-0.698970004336019
"40",2462864813.67117,0.2,9.39144057412578,-0.698970004336019
"400",6460772948.95872,0.2,9.81028447889081,-0.698970004336019
"50",2754562761.78956,0.2,9.44005267207632,-0.698970004336019
"60",2768464933.82941,0.2,9.44223902698437,-0.698970004336019
"70",2781301402.96241,0.2,9.44424805486582,-0.698970004336019
"80",2956799469.6795,0.2,9.47082187164659,-0.698970004336019
"90",3047573702.52744,0.2,9.48395421739589,-0.698970004336019
