Percentage_Mass,Size,Test
18.22281167,<0.125mm,Studsvik Rod 191
12.4137931,0.125mm-0.25mm,Studsvik Rod 191
16.07427056,0.25mm-0.5mm,Studsvik Rod 191
21.64456233,0.5mm-1mm,Studsvik Rod 191
19.49602122,1mm-2mm,Studsvik Rod 191
12.4137931,2mm-4mm,Studsvik Rod 191
0,>4mm,Studsvik Rod 191
31.59151194,<0.125mm,Studsvik Rod 192
11.14058355,0.125mm-0.25mm,Studsvik Rod 192
12.81167109,0.25mm-0.5mm,Studsvik Rod 192
14.32360743,0.5mm-1mm,Studsvik Rod 192
18.70026525,1mm-2mm,Studsvik Rod 192
11.53846154,2mm-4mm,Studsvik Rod 192
0.079575597,>4mm,Studsvik Rod 192
18.22281167,<0.125mm,Studsvik Rod 193
10.42440318,0.125mm-0.25mm,Studsvik Rod 193
13.36870027,0.25mm-0.5mm,Studsvik Rod 193
16.94960212,0.5mm-1mm,Studsvik Rod 193
19.25729443,1mm-2mm,Studsvik Rod 193
19.81432361,2mm-4mm,Studsvik Rod 193
2.148541114,>4mm,Studsvik Rod 193
0.557029178,<0.125mm,Studsvik Rod 196
0.557029178,0.125mm-0.25mm,Studsvik Rod 196
0.397877984,0.25mm-0.5mm,Studsvik Rod 196
0.477453581,0.5mm-1mm,Studsvik Rod 196
0.795755968,1mm-2mm,Studsvik Rod 196
12.17506631,2mm-4mm,Studsvik Rod 196
85.30503979,>4mm,Studsvik Rod 196
0.875331565,<0.125mm,Studsvik Rod 198
0.795755968,0.125mm-0.25mm,Studsvik Rod 198
0.954907162,0.25mm-0.5mm,Studsvik Rod 198
0.795755968,0.5mm-1mm,Studsvik Rod 198
1.352785146,1mm-2mm,Studsvik Rod 198
28.09018568,2mm-4mm,Studsvik Rod 198
67.4801061,>4mm,Studsvik Rod 198
