"t","rms","dp","logrms","logdp"
"10",1825963082.57169,2,9.26149199269583,0.301029995663981
"100",2897465735.71457,2,9.46201830887098,0.301029995663981
"120",3058464459.87584,2,9.48550343825233,0.301029995663981
"150",2701731779.32429,2,9.43164223123618,0.301029995663981
"170",2737703949.09751,2,9.43738648243021,0.301029995663981
"20",2164739597.37874,2,9.33540566132529,0.301029995663981
"200",2809816657.62428,2,9.44867798283042,0.301029995663981
"220",2719386329.62121,2,9.43447091001642,0.301029995663981
"250",3400147678.02512,2,9.5314977800889,0.301029995663981
"270",2932513816.28551,2,9.46724006693332,0.301029995663981
"30",2775587932.52383,2,9.44335499063201,0.301029995663981
"300",2800701087.64966,2,9.44726676005114,0.301029995663981
"40",2646187409.50946,2,9.42262059874551,0.301029995663981
"400",2923108022.17159,2,9.4658448648156,0.301029995663981
"50",2809167176.86033,2,9.44857758534879,0.301029995663981
"60",2981186390.00615,2,9.47438912988053,0.301029995663981
"70",2818667892.25121,2,9.45004390841526,0.301029995663981
"80",2708326016.78016,2,9.43270094168462,0.301029995663981
"90",2819494555.47282,2,9.45017126028972,0.301029995663981
"10",3573012820.77808,1.5,9.55303457455206,0.176091259055681
"100",4569999472.94662,1.5,9.65991614998311,0.176091259055681
"120",4661593856.64409,1.5,9.66853443274055,0.176091259055681
"150",4675032264.13865,1.5,9.66978461244683,0.176091259055681
"170",4688354116.89759,1.5,9.67102040702164,0.176091259055681
"20",3186682975.41069,1.5,9.50333886018596,0.176091259055681
"200",4716300066.12828,1.5,9.67360142850915,0.176091259055681
"220",4720311844.70197,1.5,9.6739706909984,0.176091259055681
"250",4735443818.46768,1.5,9.67536068848792,0.176091259055681
"270",4747410378.22704,1.5,9.67645677486059,0.176091259055681
"30",3993155351.2983,1.5,9.60131620648765,0.176091259055681
"300",4758143822.17428,1.5,9.67743756511459,0.176091259055681
"40",4248706550.67484,1.5,9.62825673630871,0.176091259055681
"400",4801682354.01705,1.5,9.68139342676215,0.176091259055681
"50",4395643553.11184,1.5,9.64302246782948,0.176091259055681
"60",4231337516.04045,1.5,9.62647766856166,0.176091259055681
"70",4616266228.22592,1.5,9.6642908473997,0.176091259055681
"80",4528430345.58806,1.5,9.655947691995,0.176091259055681
"90",4615148936.38552,1.5,9.66418572079133,0.176091259055681
"10",2323148964.94485,1,9.36607705852143,0
"100",2878679737.51983,1,9.45919335089246,0
"120",2829769565.55164,1,9.45175107139568,0
"150",2836763309.05376,1,9.45282310109013,0
"170",2829999909.28632,1,9.45178642160328,0
"20",2411345170.39044,1,9.38225938162022,0
"200",2822712664.15444,1,9.45066667172704,0
"220",2826277729.15964,1,9.45121483632182,0
"250",2816918927.12454,1,9.44977434787001,0
"270",2824269559.63273,1,9.45090614516806,0
"30",2863333166.93766,1,9.45687188387361,0
"300",2811773580.94382,1,9.44898034603992,0
"40",2647466463.8789,1,9.42283046749734,0
"400",2822940692.94655,1,9.45070175416654,0
"50",2970938215.23061,1,9.47289362014314,0
"60",2904976575.8794,1,9.46314263483054,0
"70",2856447583.28752,1,9.45582625902921,0
